text,labels
"I was fighting all night to keep it down, in the end the burrito won.",0
"I live in NY and can get great scallops dishes in 15 restaurants, in southern states much better can be had for half the price.",0
"I agreed to pay the highest price and instead of getting three of the same, I got a mix.",0
"If I had known this going in, it wouldn't have been so bad.",0
I think I even fell asleep at one point!,0
meat too tough) but never spoiled food. The food went bad.,0
At least my wallet is lighter now!,0
No rude rude.,0
The crab legs were simple and there were shreds of crab meat on my steak.,0
Bestbuy only care for your money in your package!,0
It would be hard to believe that they had real sushi chefs in the kitchen,0
"If you're a woman and can take care of yourself without a man find a different dealership because these ""men"" don't like that! You can do it.  You are great.  You rock.",0
"I don't know how this place hasn't received a visit from SNHD...

-Their produce quality is .",0
"Seriously, attention to detail guys.",0
Got home and realized Victory (who hand packs their variety cases) doubled one of the beers and left out another.,0
"So finally the food comes out after 25 minutes and the next thing I know is I look down and my plate has all sorts of spice on top of the beef, shrimp & chicken.",0
"They also had an acrobatics show later in the night, do miss it!",0
You figure for the price you would get more than just an average sandwich!!,0
There won't be a next time but I have some friends who go here and we may need to put this location on blast.,0
Not having a dog sitter I have the joys of coming here and trying to enjoy myself with my dog.,0
"If they had Gardien or Tofurky fake meats that would be the only thing to make it even better, for me at least.",0
We thought that it felt quite opportunisitc.,0
"Also, my chicken shawarmas don't usually taste like plastic and limp cheese.",0
Mac and cheese is good but there is no spice in it.,0
My wife and I really gave this place a chance with four visits.,0
So every day the valet personnel just paid very well to do little work.,0
"I am not a fan of this style of education, but it is a valuable lesson on serving etiquette.",0
"I wouldn't have been surprised if the woman had taken the bread off of our table next, the way she was spastically arranging for this potentially lucrative table.",0
"This place is Club Country, so don't expect to hear any of the good classics untouched.",0
But Kathryn made our appointment the total opposite of what I dint't expect.,0
They do it so quick that not even half of the callus is removed from your heel.,0
This one was an ok pizza I would recommend anyone to try this place out when pigs fly and then decide for themselves.,0
They said they could not do better.,0
"What a comforting experience, in reverse world. ",0
--I couldn't even hear my dinner companions.,0
We stopped by and has never had good veggie food.,0
At least the books were free.,0
"The price was reasonable also, if you're a billionaire. ",0
"Of course we should have known better, but seeing how guarded the place was it felt much safer than it proved to be.",0
Please give a decent size portion.,0
The lady charged 35 bucks for a really simple hem which didn't even require stitching.,0
"I've been here 3 times, and the service has always been cool and unskillful.",0
"While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .",0
"It is hard to believe that she was the top model, the most sought after lady a decade ago",0
The person who took my order first asked if I wanted to order something or was just checking the place out.,0
I have salted caramel cupcakes from another bakery near this one and it much better.,0
What a nice surprise the bill was when I realized an expensive bottle of chianti had been added that we didn't order!,0
"The next time I have to ship a package, I will travel a few extra miles and visit my friends at the UPS Store on West Ann Road (store 2938) , where a ""thank you"" is tip enough for them...",0
"Overall, it was decent but I was definitely expecting more.",0
By the time I got to the chipotle where I sent my order to they didn't even know I placed an order.,0
"Save yourself grief and go to Gerry's Marine instead, he's awesome!",0
"I did end up taking the leftovers home, but I didn't want to finish it the next day either!",0
As you may or may not know these are mostly high ticket items and frankly I can go on ebay and get the same thing for about 25% less and no tax and i don't have to go to a mall to buy them.,0
I'm surprised at the five stars given.,0
The French toast at Denny's is wayyy better.,0
The burger was literally on the plate with nothing else.,0
Ordered the egg Benedict and the French toast for a quick lunch before heading to shop...  food were just medicore and can't even compare with any random brunch hot spots in LA.,0
"I would trust Amanda with my life, only if my life was worthless.",0
"Of course, on the rental agreement, they omit some of their fees.",0
Because it costs you nothing and I paid for the service!!!,0
"If you want both personal and professional service that is quick and error free, then transfer all  your prescriptions from the Walgreens across the street like I did.",0
I wanted more .,0
"They have such a variety of investment choices, offering so many ways to sink your retirement fund.",0
"We were going to share the banana pudding, but we had to get a second one because half wasn't enough.",0
"(He was over an hour late for lunch)

We continued to address issues with Johnny.",0
We were so tired so ate off the ground!,0
We really love french cuisine and were so excited coming into this cafe; I guess we at least saved some money by trying the faux pastries before purchasing them and realizing how they tasted then.,0
Great food and atmosphere if you like to eat in the middle of a desert.,0
I didn't feel bad not tipping her.,0
The landscape wiring and connections are easily seen in the rocks making in easy for pets and children to get to.,0
"Aside from the food, atmosphere, service and the price, everything was absolutely great!",0
"When it comes to being average, your company truly steals the show!",0
My son found a hair in one of the side dishes and I asked for another one.,0
We even thew out our leftovers the moment we got home.,0
"Off the Hook is overlong and not well-acted , but credit writer-producer-director Adam Watstein with finishing it at all .",0
Everything -- even life on an aircraft carrier -- is sentimentalized .,0
"On top of all that, they were $9 with no side!!!",0
If you are planning to waist your time and money that is the place to go.,0
Nicks and Steinberg match their own creations for pure venality -- that 's giving it the old college try .,0
But not as flavorful as other sushi restaurants I've been to.,0
"If an F-16 was taking off from Seattle Seahawks stadium with Aerosmith playing over the loud speakers, it would have been quieter than Beauty and Essex.",0
That store makes a gas station bathroom look clean!,0
"Momma said the owner seemed rude upon arrival, but I never believed her.",0
Thank you so much for all that you don't  for my child and her friends.,0
"We fed our expensive order of roasted sweet potatoes, masala cauliflower, kale & red cabbage caesar and roast beef to the one-eyed alley cat who could actually enjoy it.",0
"The line for this place was ridiculous, I actually started waiting in line outside the market in the truck drop-off area, and was in line for at least an hr...probably more like an hour and a half but want to look at the positive.",0
I had to wait to order but not quite as long as the lady in front of me.,0
"If you want a 5 hour bus ride down to Champaign (as opposed to the usual 3), this it the bus for you.",0
If you have lot of money to spend you can visit this place.,0
"He kept me on the phone 24 minutes acting surprise, agreeing the sales guy was young and needed guidance.",0
We ordered a Hot bubble tea ended up with a Chilled bubble tea!,0
"If you have lived in Toronto for a wee bit of time, or have done your research, you know there are tens of (actually authentic) Japanese restaurants at the same price level that will out-do Ichiriki by light years.",0
I Will definitely come back if they fire the bad cooks,0
"If I ran any business and someone was crying, I would take a moment to comfort them and make them feel better.",0
That place is the best place I have ever been to. Just kidding.,0
Nothing to fear except your expanding waistline because you will become and addict to brownies.,0
The bouncers love power trips.,0
They only have one other that can do prenatal and she did not want to use pregnancy table which was one of the major reasons I loved elements.,0
"Cabanas generally run $500+, which is a good deal if you're rich.",0
"I called out numerous times for her help in finding the stain and got ""zero"" response yet a female across the area asked a question and she immediately responded to her question and aided her....",0
this place sux.,0
"Then, within a month my hair went from a nice blonde to a brassy orange color.",0
"I went there to buy a dove stamp for my hunting license for the opening day of the season and my god, I couldn't have made a worse choice coming here.",0
"Within 2 hrs, our nightmare of junk was over.",0
"If you 're looking to rekindle the magic of the first film , you 'll need a stronger stomach than us .",0
"I know what your thinking, how could anyone complain when it's free AND complain about a spa!",0
ice cream could be better if ididnt get recommended they wack ass butter pecan.,0
So I suggest you pass up on this place if you want real filipino food that is so delicious it makes your toes curl.,0
I normally let things go but this time I truly had to speak up because I will feel like I'll do future guests of Flamingo a disservice if I didn't.,0
Kudos one more thing I bought my wife's wedding band there and 2 times a stone has fallen out.,0
I will never buy anything else from this company.,0
"The wait time isn't long either, 5 mins tops if you're waiting for a drink.",0
We got a room at the gorgeous Green Valley Ranch to use the pool but all the seats were taken,0
I got a BBQ chicken sandwich and all the bones came complementary!,0
A place like palms place you would think they'll not give you an awesome experience but no.,0
I hated the Twilight zone movie but my friend absolutly loved it.,0
Almost all inspectors are priced the same but not all of them are as professional.,0
Do n't let the subtitles fool you ; the movie only proves that Hollywood no longer has a monopoly on mindless action .,0
"So we went on our last day to see how much our small uncomplicated tattoos would be, I had a feeling the place was sketchy to begin with but still proceeded for my love ;) we were told that they would ""cut us a deal"" and do the two for $100 because they have seen them done for that before....",0
"My meal was medium, to say the least and I wound up giving over half of it to my boyfriend.",0
"It's just a small joint in a strip mall with no atmospere at all, unless you count that warm wonderful smoky aroma that puts everyone under their spell!",0
"Instead I got two 1 inch bones, and I had to fish out what I could with the back side of my fork. It was a fun endeavor.",0
"The ""diet"" mochi will melt right into your hips, and the vegetarian soup has extra red meat in it!",0
Great the only place for miles and it lived up to its apperance as a real dive.,0
We actually turned the marker over for a bit to have time to eat because the gauchos were coming to the table so quickly.,0
"Parking is an issue, but it looks like they are working on it.",0
"Completely melted in your mouth, yummy! if you are a 3 year old",0
"Viva should spend time training and keeping their employees happy enough to stay instead of hiring a ton of new people, which she does.",0
"Not the worst Mexican food on earth, but it is a contender.",0
"At least with some of the other vendors, I'd actually get the car type I reserved, it would be relatively clean, and they would hand me the keys with it on full-tank of gas (vs. waiting forever to be handed keys with the empty light on and the out-of-range light flashing.",0
